Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4emQrNiz37OidY7SoXXQls,Victorious,Victorious,Skillet,8/2/2019,245715,56,FALSE,,2022-11-16T00:20:30Z,"christian rock,christian alternative rock,christian",Atlantic Records,0.217,0.763,10,-4.024,1,0.0426,0.00144,0.0000159,0.238,0.342,86.7,3
spotify:track:1W0YS64vF9qgMVLuN76aqg,Rise,Rise (Deluxe Edition),Skillet,6/21/2013,260786,68,FALSE,,2022-11-16T00:16:25Z,"christian rock,christian alternative rock,christian",Atlantic Records,0.57,0.921,4,-3.892,0,0.0724,0.0127,0,0.818,0.381,87.938,4
spotify:track:6qYTL4IxHaHTfum39X62tr,Salvation,Rise (Deluxe Edition),Skillet,6/21/2013,225400,54,FALSE,,2022-11-16T00:16:04Z,"christian rock,christian alternative rock,christian",Atlantic Records,0.479,0.941,1,-3.453,0,0.0652,0.049,0,0.0291,0.554,158.031,4
spotify:track:5pRElcsPZrgZXkoON2o5Go,Comatose,Comatose,Skillet,10/4/2006,230426,74,FALSE,,2022-11-16T00:03:50Z,"christian rock,christian alternative rock,christian",Lava/Atlantic,0.359,0.955,4,-2.323,0,0.12,0.00116,0,0.349,0.446,170.033,4
spotify:track:3UygY7qW2cvG9Llkay6i1i,Going Under,Fallen,Evanescence,3/4/2003,214946,83,FALSE,,2022-11-16T00:00:52Z,alternative metal,The Bicycle Music Company,0.37,0.858,11,-4.885,0,0.0545,0.00815,0.0000212,0.229,0.464,175.077,4
spotify:track:1sxUaLi0G2vB7dl4ogtCxH,Never Let You Go - 2008 Remaster,Blue,Third Eye Blind,1999,237240,73,FALSE,,2022-11-15T23:54:52Z,,Elektra Records,0.728,0.94,4,-5.034,1,0.0368,0.0814,0.000162,0.109,0.967,113.76,4
spotify:track:714Lw0m2SmCEhKSPw0Dn8J,Welcome to My Life,Still Not Getting Any...,Simple Plan,10/25/2004,206773,64,FALSE,,2022-11-15T23:47:28Z,"pop punk,punk,emo",Atlantic Records,0.421,0.858,1,-4.535,1,0.0963,0.0134,0,0.067,0.491,173.255,4
spotify:track:3354J49VpkbZJho7Ztdzpw,Jumper - 1998 Edit,Third Eye Blind,Third Eye Blind,4/8/1997,272973,76,FALSE,,2022-11-15T23:37:42Z,,Rhino/Elektra,0.599,0.543,0,-9.226,1,0.0302,0.0129,0.00204,0.291,0.624,91.105,4
spotify:track:2YrB3vM3H7TcXZ0rAq4X8Y,Mercy Me,Crimson,Alkaline Trio,5/24/2005,169497,1,FALSE,,2022-11-15T23:25:25Z,"pop punk,punk,emo,skate punk",Vagrant Records,0.472,0.88,9,-5.354,1,0.0495,0.0207,0,0.354,0.805,162.171,4
spotify:track:4uVjbl6daCwjhDur7qLddu,I'd Do Anything,"No Pads, No Helmets...Just Balls (15th Anniversary Tour Edition)",Simple Plan,3/19/2002,197640,70,FALSE,,2022-11-15T23:08:48Z,"pop punk,punk,emo",Rhino Atlantic,0.395,0.917,8,-6.86,1,0.133,0.00143,0,0.261,0.563,169.088,4
spotify:track:4oL4ShpnvaF8dJrYgcsbPM,Fighting,Paper Walls,Yellowcard,1/1/2007,180826,52,FALSE,,2022-11-15T22:57:41Z,"pop punk,punk,emo",Capitol Records,0.415,0.964,7,-4.689,1,0.109,0.000568,0,0.0525,0.355,179.977,4
